Price,Year,Mileage_in_KM,Transmission,Fuel_Type,Title,City_standard,Make_extracted,Model_extracted
285000,2007.0,213000.0,Manual,Gas,Hyundai Verna,Cairo,Hyundai,Verna
450000,2009.0,0.0,Automatic,Hybrid,Hyundai Accent,Cairo,Hyundai,Accent
520000,2016.0,39500.0,Automatic,Gas,Chevrolet Aveo,Cairo,Chevrolet,Aveo
850000,2022.0,105000.0,Automatic,Gas,Kia Grand Cerato,Kafr el-Sheikh,Kia,Grand Cerato
210000,2000.0,330000.0,Manual,Gas,Mitsubishi Lancer Crystala,Dakahlia,Mitsubishi,Lancer Crystala
525000,2009.0,260000.0,Automatic,Diesel,Mitsubishi Lancer EX Shark,Kafr el-Sheikh,Mitsubishi,Lancer EX Shark
1050000,2024.0,5.0,Automatic,Gas,Suzuki Ertiga,Cairo,Suzuki,Ertiga
760000,2025.0,2150.0,Automatic,Gas,Nissan Sunny,Alexandria,Nissan,Sunny
370000,2005.0,290000.0,Automatic,Gas,Mitsubishi Lancer Puma,Dakahlia,Mitsubishi,Lancer Puma
980000,2018.0,133000.0,Automatic,Gas,Citroën Ds5,Giza,Citroën,Ds5
550000,2018.0,225000.0,Automatic,Gas,Fiat Tipo,Cairo,Fiat,Tipo
950000,2025.0,9000.0,Automatic,Gas,Hyundai Elantra AD,Asyut,Hyundai,Elantra AD
1580000,2016.0,159000.0,Automatic,Gas,Mercedes C 180,Cairo,Mercedes,C 180
615000,2023.0,47000.0,Automatic,Gas,Nissan Sunny,Cairo,Nissan,Sunny
2800000,2025.0,0.0,Automatic,Gas,Skoda Kodiaq,Unknown,Skoda,Kodiaq
1695000,2023.0,50000.0,Automatic,Gas,Kia Sportage,Alexandria,Kia,Sportage
2700000,2025.0,0.0,Automatic,Gas,Skoda Kodiaq,Unknown,Skoda,Kodiaq
740000,2025.0,0.0,Automatic,Gas,Chevrolet Optra,Unknown,Chevrolet,Optra
2550000,2024.0,0.0,Automatic,Gas,Skoda Kodiaq,Unknown,Skoda,Kodiaq
1550000,2024.0,30000.0,Automatic,Gas,Hyundai Tucson,Alexandria,Hyundai,Tucson
160000,1979.0,367000.0,Manual,Gas,Mercedes 200,Giza,Mercedes,200
1380000,2014.0,136000.0,Automatic,Gas,Mercedes C 180,Cairo,Mercedes,C 180
290,2018.0,180.0,Automatic,Natural Gas,Lada Granta,Cairo,Lada,Granta
980000,2019.0,50000.0,Automatic,Gas,Ford Kuga,Giza,Ford,Kuga
390000,2014.0,111000.0,Automatic,Diesel,Chevrolet Aveo,Qalyubia,Chevrolet,Aveo
420000,2015.0,160000.0,Automatic,Gas,Chevrolet Aveo,Beni Suef,Chevrolet,Aveo
275000,2004.0,279998.0,Automatic,Gas,Chevrolet Lanos,Cairo,Chevrolet,Lanos
415000,2012.0,320000.0,Automatic,Diesel,Ford Focus,Qalyubia,Ford,Focus
450000,2019.0,180000.0,Automatic,Gas,Chery Tiggo 3,Cairo,Chery,Tiggo 3
550000,2022.0,49000.0,Automatic,Gas,Chery Arrizo 5,Giza,Chery,Arrizo 5
880000,2019.0,242000.0,Automatic,Gas,Toyota Corolla,Unknown,Toyota,Corolla
250000,2009.0,190000.0,Manual,Gas,Hyundai Verna,Aswan,Hyundai,Verna
850000,2022.0,7200.0,Automatic,Gas,Haval Jolion,Giza,Haval,Jolion
550000,2019.0,113400.0,Automatic,Diesel,Chery Arrizo 5,Cairo,Chery,Arrizo 5
1575000,2015.0,230000.0,Automatic,Gas,Mercedes E 200,Dakahlia,Mercedes,E 200
498000,2019.0,180000.0,Automatic,Diesel,Nissan Sunny,Sharqia,Nissan,Sunny
825000,2018.0,107000.0,Automatic,Gas,Hyundai Elantra AD,Dakahlia,Hyundai,Elantra AD
740000,2021.0,105000.0,Automatic,Gas,MG ZS,Giza,MG,ZS
400000,2002.0,300000.0,Automatic,Gas,Hyundai Avante,Sharqia,Hyundai,Avante
1190000,2024.0,1190000.0,Automatic,Diesel,Jetour Dashing,Cairo,Jetour,Dashing
700000,2025.0,29000.0,Automatic,Gas,Nissan Sunny,Giza,Nissan,Sunny
840000,2020.0,100000.0,Automatic,Gas,Hyundai Creta,Alexandria,Hyundai,Creta
850000,2018.0,188000.0,Automatic,Gas,Peugeot 508,Unknown,Peugeot,508
470000,2019.0,177000.0,Automatic,Gas,Renault Sandero Step Way,Dakahlia,Renault,Sandero Step Way
370000,2005.0,255000.0,Automatic,Gas,Mitsubishi Lancer,New Valley,Mitsubishi,Lancer
550000,2006.0,233000.0,Automatic,Gas,Skoda Octavia A5,Giza,Skoda,Octavia A5
1150000,2019.0,140000.0,Automatic,Natural Gas,Hyundai Tucson,Cairo,Hyundai,Tucson
1100000,2024.0,13000.0,Automatic,Gas,Jetour X70,Cairo,Jetour,X70
2200000,2019.0,120000.0,Automatic,Gas,Mercedes C 180,Alexandria,Mercedes,C 180
2050000,2022.0,39000.0,Automatic,Gas,Audi Q3,Alexandria,Audi,Q3
1400000,2014.0,900000.0,Automatic,Gas,Mercedes CLA 200,Alexandria,Mercedes,CLA 200
